Date,dt,Price,Open,High,Low,Vol.,Change %,,,,,,,,,,,,,,,,,
"May 23, 2019",23/05/2019,53.19,54.98,54.99,52.82,463.09K,-3.82%,,,23/05/2019,,54.99,,53.19,,,,,,,,,,
"May 24, 2019",24/05/2019,54.07,53.7,54.62,53.42,754.65K,1.65%,,,24/05/2019,,54.62,,54.07,,,,,,,,,,
"May 28, 2019",28/05/2019,54.43,54.23,55.17,53.85,470.28K,0.67%,,,28/05/2019,,55.17,,54.43,,,,,,,,,,
"May 29, 2019",29/05/2019,53.24,53.99,54.15,52.93,871.98K,-2.19%,,,29/05/2019,,54.15,,53.24,,,,,,,,,,
"May 30, 2019",30/05/2019,53,53.23,53.54,52.5,376.28K,-0.45%,,,30/05/2019,,53.54,,53,,,,,,,,,,
"May 31, 2019",31/05/2019,52.25,52.26,53.27,51.84,702.01K,-1.42%,,,31/05/2019,,53.27,,52.25,,,,,,,,,,
"Jun 03, 2019",03/06/2019,52.6,52.16,54.12,52.06,341.79K,0.67%,,,03/06/2019,,54.12,,52.6,,,,,,,,,,
"Jun 04, 2019",04/06/2019,54.21,53.13,54.35,52.03,564.82K,3.06%,,,04/06/2019,,54.35,,54.21,,,,,,,,,,
"Jun 05, 2019",05/06/2019,54.96,54.31,55.87,54.13,378.82K,1.38%,,,05/06/2019,,55.87,,54.96,,,,,,,,,,
"Jun 06, 2019",06/06/2019,51.96,54.86,55.02,51.83,473.39K,-5.46%,,,06/06/2019,,55.02,,51.96,,,,,,,,,,
"Jun 07, 2019",07/06/2019,53.13,52.04,53.49,51.63,366.40K,2.25%,,,07/06/2019,,53.49,,53.13,,,,,,,,,,
"Jun 10, 2019",10/06/2019,51.96,53.36,54.18,51.9,402.84K,-2.20%,,,10/06/2019,,54.18,,51.96,,,,,,,,,,
"Jun 11, 2019",11/06/2019,51.13,52.32,52.86,50.81,488.23K,-1.60%,,,11/06/2019,,52.86,,51.13,,,,,,,,,,
"Jun 12, 2019",12/06/2019,52.39,51.22,53.11,50.77,377.11K,2.46%,,,12/06/2019,,53.11,,52.39,,,,,,,,,,
"Jun 13, 2019",13/06/2019,52.41,52.47,52.78,51.28,322.14K,0.04%,,,13/06/2019,,52.78,,52.41,,,,,,,,,,
"Jun 14, 2019",14/06/2019,51.14,52.3,52.5,51.12,321.58K,-2.42%,,,14/06/2019,,52.5,,51.14,,,,,,,,,,
"Jun 17, 2019",17/06/2019,52.1,51.55,52.43,51.15,547.23K,1.88%,,,17/06/2019,,52.43,,52.1,,,,,,,,,,
"Jun 18, 2019",18/06/2019,54.29,52.88,55.53,52.63,513.60K,4.20%,,,18/06/2019,,55.53,,54.29,,,,,,,,,,
"Jun 19, 2019",19/06/2019,54.25,54.1,55.11,54.02,442.88K,-0.07%,,,19/06/2019,,55.11,,54.25,,,,,,,,,,
"Jun 20, 2019",20/06/2019,55.12,56.6,57.47,54.45,736.27K,1.60%,,,20/06/2019,,57.47,,55.12,,,,,,,,,,
"Jun 21, 2019",21/06/2019,54.84,54.93,55.7,53.35,1.03M,-0.51%,,,21/06/2019,,55.7,,54.84,,,,,,,,,,
"Jun 24, 2019",24/06/2019,53.51,54.67,55.43,53.41,398.03K,-2.43%,,,24/06/2019,,55.43,,53.51,,,,,,,,,,
"Jun 25, 2019",25/06/2019,54.06,53.84,55.03,53.45,334.20K,1.03%,,,25/06/2019,,55.03,,54.06,,,,,,,,,,
"Jun 26, 2019",26/06/2019,53.88,54.17,55.2,53.3,403.68K,-0.33%,,,26/06/2019,,55.2,,53.88,,,,,,,,,,
"Jun 27, 2019",27/06/2019,56.35,53.94,56.36,53.93,594.75K,4.58%,,,27/06/2019,,56.36,,56.35,,,,,,,,,,
"Jun 28, 2019",28/06/2019,58.17,56.35,58.27,56.14,1.56M,3.23%,,,28/06/2019,,58.27,,58.17,,,,,,,,,,
"Jul 01, 2019",01/07/2019,58.86,59.09,59.5,57.73,623.06K,1.19%,,,01/07/2019,,59.5,,58.86,,,,,,,,,,
"Jul 02, 2019",02/07/2019,59.27,59.12,59.94,58.16,549.40K,0.70%,,,02/07/2019,,59.94,,59.27,,,,,,,,,,
"Jul 03, 2019",03/07/2019,60.38,59.32,60.5,59.21,311.57K,1.87%,,,03/07/2019,,60.5,,60.38,,,,,,,,,,
"Jul 05, 2019",05/07/2019,58.39,60.14,60.14,58.05,445.10K,-3.30%,,,05/07/2019,,60.14,,58.39,,,,,,,,,,
"Jul 08, 2019",08/07/2019,57.07,58.33,58.33,56.53,365.34K,-2.26%,,,08/07/2019,,58.33,,57.07,,,,,,,,,,
"Jul 09, 2019",09/07/2019,57.59,56.67,57.69,55.71,404.17K,0.91%,,,09/07/2019,,57.69,,57.59,,,,,,,,,,
"Jul 10, 2019",10/07/2019,58.01,57.68,58.6,57.32,282.07K,0.73%,,,10/07/2019,,58.6,,58.01,,,,,,,,,,
"Jul 11, 2019",11/07/2019,56.2,58.24,58.81,55.89,309.33K,-3.12%,,,11/07/2019,,58.81,,56.2,,,,,,,,,,
"Jul 12, 2019",12/07/2019,56.28,56.02,56.62,55.41,228.00K,0.14%,,,12/07/2019,,56.62,,56.28,,,,,,,,,,
"Jul 15, 2019",15/07/2019,57.2,56.59,57.53,55.5,302.80K,1.63%,,,15/07/2019,,57.53,,57.2,,,,,,,,,,
"Jul 16, 2019",16/07/2019,56.05,57.46,57.46,55.08,262.36K,-2.01%,,,16/07/2019,,57.46,,56.05,,,,,,,,,,
"Jul 17, 2019",17/07/2019,55.14,55.82,56.26,54.82,261.74K,-1.62%,,,17/07/2019,,56.26,,55.14,,,,,,,,,,
"Jul 18, 2019",18/07/2019,56.19,55.25,56.55,54.39,242.54K,1.90%,,,18/07/2019,,56.55,,56.19,,,,,,,,,,
"Jul 19, 2019",19/07/2019,55.97,56.18,56.47,55.63,219.93K,-0.39%,,,19/07/2019,,56.47,,55.97,,,,,,,,,,
"Jul 22, 2019",22/07/2019,56.29,56.3,57.13,55.88,343.79K,0.57%,,,22/07/2019,,57.13,,56.29,,,,,,,,,,
"Jul 23, 2019",23/07/2019,56.77,56.3,57.07,55.72,311.42K,0.85%,,,23/07/2019,,57.07,,56.77,,,,,,,,,,
"Jul 24, 2019",24/07/2019,65.22,61.91,65.58,61.31,1.52M,14.88%,,,24/07/2019,,65.58,,65.22,,,,,,,,,,
"Jul 25, 2019",25/07/2019,65.05,64.88,65.81,64.36,1.35M,-0.26%,,,25/07/2019,,65.81,,65.05,,,,,,,,,,
"Jul 26, 2019",26/07/2019,68.66,64.99,69.16,64.71,5.23M,5.55%,,,26/07/2019,,69.16,,68.66,,,,,,,,,,
"Jul 29, 2019",29/07/2019,73.07,71,73.48,68.7,4.97M,6.42%,,,29/07/2019,,73.48,,73.07,,,,,,,,,,
"Jul 30, 2019",30/07/2019,74,72.42,74.87,72.32,2.02M,1.27%,,,30/07/2019,,74.87,,74,,,,,,,,,,
"Jul 31, 2019",31/07/2019,72.97,73.52,74.39,72.48,983.67K,-1.39%,,,31/07/2019,,74.39,,72.97,,,,,,,,,,
"Aug 01, 2019",01/08/2019,72.99,73.18,73.57,72,1.73M,0.03%,,,01/08/2019,,73.57,,72.99,,,,,,,,,,
"Aug 02, 2019",02/08/2019,72.53,72.75,72.89,71.96,679.51K,-0.63%,,,02/08/2019,,72.89,,72.53,,,,,,,,,,
"Aug 05, 2019",05/08/2019,71.51,72.03,72.18,70.71,1.59M,-1.41%,,,05/08/2019,,72.18,,71.51,,,,,,,,,,
"Aug 06, 2019",06/08/2019,73.16,71.81,73.18,71.46,551.80K,2.31%,,,06/08/2019,,73.18,,73.16,,,,,,,,,,
"Aug 07, 2019",07/08/2019,73.17,72.56,73.72,72.21,908.20K,0.01%,,,07/08/2019,,73.72,,73.17,,,,,,,,,,
"Aug 08, 2019",08/08/2019,74.45,72.8,74.46,72.78,540.29K,1.75%,,,08/08/2019,,74.46,,74.45,,,,,,,,,,
"Aug 09, 2019",09/08/2019,73.43,74.27,74.51,73.19,434.27K,-1.37%,,,09/08/2019,,74.51,,73.43,,,,,,,,,,
"Aug 12, 2019",12/08/2019,73.12,73.02,73.83,72.73,447.11K,-0.42%,,,12/08/2019,,73.83,,73.12,,,,,,,,,,
"Aug 13, 2019",13/08/2019,74.9,73,75.12,73,620.48K,2.43%,,,13/08/2019,,75.12,,74.9,,,,,,,,,,
"Aug 14, 2019",14/08/2019,74.7,73.85,75.69,73.85,784.42K,-0.27%,,,14/08/2019,,75.69,,74.7,,,,,,,,,,
"Aug 15, 2019",15/08/2019,73.8,74.65,75.01,73.68,433.87K,-1.20%,,,15/08/2019,,75.01,,73.8,,,,,,,,,,
"Aug 16, 2019",16/08/2019,74.64,74.3,74.65,73.85,347.63K,1.14%,,,16/08/2019,,74.65,,74.64,,,,,,,,,,
