"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 19, 2019","4.630","5.000","5.180","4.540","87.00K","-6.28%"
"Feb 15, 2019","4.940","4.930","5.160","4.900","70.72K","-0.20%"
"Feb 14, 2019","4.950","4.990","5.000","4.880","30.93K","0.41%"
"Feb 13, 2019","4.930","4.990","5.000","4.830","60.44K","0.61%"
"Feb 12, 2019","4.900","4.850","5.010","4.800","72.90K","0.82%"
"Feb 11, 2019","4.860","4.760","4.980","4.720","118.64K","-0.82%"
"Feb 08, 2019","4.900","4.790","5.030","4.790","72.39K","-3.73%"
"Feb 07, 2019","5.090","5.090","5.260","4.700","232.04K","0.59%"
"Feb 06, 2019","5.060","4.200","5.250","4.200","228.39K","19.34%"
"Feb 05, 2019","4.240","4.360","4.480","4.200","51.00K","-1.85%"
"Feb 04, 2019","4.320","4.350","4.450","4.230","63.24K","-0.69%"
"Feb 01, 2019","4.350","4.290","4.470","4.240","180.06K","2.59%"
"Jan 31, 2019","4.240","4.510","4.550","4.200","104.59K","-5.78%"
"Jan 30, 2019","4.500","4.660","4.700","4.400","55.62K","-2.60%"
"Jan 29, 2019","4.620","4.860","4.920","4.530","64.74K","-5.13%"
"Jan 28, 2019","4.870","4.900","5.000","4.630","75.60K","1.04%"
"Jan 25, 2019","4.820","4.720","4.830","4.410","131.71K","2.99%"
"Jan 24, 2019","4.680","4.350","4.720","4.350","76.46K","7.59%"
"Jan 23, 2019","4.350","4.740","4.900","4.330","251.13K","-5.84%"
"Jan 22, 2019","4.620","4.930","4.950","4.610","107.86K","-5.52%"
"Jan 18, 2019","4.890","5.080","5.150","4.850","157.61K","-2.98%"
"Jan 17, 2019","5.040","5.150","5.300","4.950","102.53K","-2.51%"
"Jan 16, 2019","5.170","5.200","5.400","5.100","74.00K","-0.58%"
"Jan 15, 2019","5.200","5.270","5.360","5.150","51.34K","-0.57%"
"Jan 14, 2019","5.230","5.390","5.500","5.180","66.28K","-2.97%"
"Jan 11, 2019","5.390","5.310","5.540","5.250","141.28K","1.70%"
"Jan 10, 2019","5.300","5.150","5.360","5.150","83.74K","2.32%"
"Jan 09, 2019","5.180","5.260","5.440","5.030","414.13K","-3.00%"
"Jan 08, 2019","5.340","5.210","5.470","5.040","141.28K","3.49%"
"Jan 07, 2019","5.160","5.000","5.300","5.000","216.54K","3.20%"
"Jan 04, 2019","5.000","5.010","5.100","4.950","109.34K","0.40%"
"Jan 03, 2019","4.980","5.020","5.390","4.870","237.22K","-1.39%"
"Jan 02, 2019","5.050","5.010","5.210","4.910","110.36K","0.40%"
"Dec 31, 2018","5.030","5.410","5.490","4.960","67.74K","-6.16%"
"Dec 28, 2018","5.360","5.050","5.490","5.050","53.34K","6.77%"
"Dec 27, 2018","5.020","5.070","5.230","4.880","50.66K","-2.33%"
"Dec 26, 2018","5.140","5.520","5.590","5.010","160.02K","-5.69%"
"Dec 24, 2018","5.450","5.440","5.550","5.230","39.96K","-1.98%"
"Dec 21, 2018","5.560","5.200","5.590","5.200","187.29K","8.38%"
"Dec 20, 2018","5.130","5.300","5.590","5.110","122.97K","-2.29%"
"Dec 19, 2018","5.250","5.080","5.610","5.050","75.89K","-1.13%"
"Dec 18, 2018","5.310","5.500","5.500","5.220","81.45K","-0.93%"
"Dec 17, 2018","5.360","5.600","5.660","5.310","54.69K","-3.77%"
"Dec 14, 2018","5.570","5.550","5.800","5.500","60.52K","1.27%"
"Dec 13, 2018","5.500","5.680","5.910","5.460","72.81K","-2.65%"
"Dec 12, 2018","5.650","5.750","5.910","5.500","90.08K","0.71%"
"Dec 11, 2018","5.610","5.800","5.800","5.410","95.40K","-1.41%"
"Dec 10, 2018","5.690","5.730","5.790","5.500","36.34K","-0.70%"
"Dec 07, 2018","5.730","5.830","5.840","5.710","67.86K","-2.55%"
"Dec 06, 2018","5.880","5.510","6.070","5.510","108.72K","-4.39%"
